Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Swaziland,Swazi,Hhohho,near Ntfonjeni; norht bank of river,admin headquarters ~1852,"Booth, A. 2000: 187",-25.81617719,31.35432175,
Swaziland,Swazi,Nkanini,Lonamna; 4m sw of Mbekelweni,"ritual capital, royal homestead mid/late 1800s","Booth, A. 2000: 224",-26.45,31.216667,
Swaziland,Swazi,Mbekelweni,6m nw of Manzini,royal administrative village under Mbandzeni,Zwinoira 28,-26.437172,31.326965,
Swaziland,Swazi,Mbabane,Mbabane,admin capital today; site of kings cattle kraal,"Booth, A. 2000: 182",-26.316667,31.133333,
Swaziland,Swazi,Bremersdorp,Manzini,admin and judicial capital until 1902 when moves to accommodate brits,"Booth, A. 2000: 182",-26.483333,31.366667,
Swaziland,Swazi,Zombodze,near modern Dwaleni,Natl headquarters build during mid-18th c.; later king's mother builds homestead here; much state business conducted here,"Booth, A. 2000: 339",-27.166667,31.266667,
Swaziland,Swazi,Makhosini,5m south of  Nhlangano,site of royal graves,"Booth, A. 2000: 167",-27.190655,31.180807,
Swaziland,Swazi,Mlokotfwa,near Mhlosheni,third site of royal graves,"Booth, A. 2000: 167",-27.183333,31.383333,
Swaziland,Swazi,Ludzidzini,,residence and ritual capital starting in 1840,"Booth, A. 2000: 159",-26.460389,31.201968,
Swaziland,Swazi,Lombamba,,royal homstead of Sobhunza I ~1820,"Booth, A. 2000: 90",-26.400744,31.185548,
Swaziland,Swazi,Shiselweni,Shiselweni,headquarters of founder in late 1810s; this area is traditionally considered the birthplace of the Swazi nation,"Booth, A. 2000: 169",-27.083333,31.416667,
Swaziland,Swazi,Ezulwini,,Chief wife of Sobhuza here early 1800s,Matsebula  18,-26.39957328,31.16754971,
South Africa,Swazi,Mekemeke,NE of Barberton,military outpst under Mswati ,Manelisi 191,-25.59928909,31.41706464,
South Africa,Swazi,Mjindini,near Barbeton,military outpst under Mswati ,Manelisi 191,-25.53788387,31.01164038,
Swaziland,Swazi,Nhlangano,,Ngwane III's ceremonial capital here,,-27.11403162,31.19942974,
