Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Botswana,BaNgwaketse,Dikhukhung,placed at Logagane (on ZAF side),Segotshane here in 1840s,Ngeongeo 144,-25.81863,24.88445
Botswana,BaNgwaketse,Diphawana,,Capital 1850-51,Ngeongeo 158,-25.08211,25.31469
Botswana,BaNgwaketse,Kanye,,Capital for much of 19th c,Ngocongo Map 4 ,-24.96689,25.33073
Botswana,BaNgwaketse,Lwale ,,Residence of Selega; Moves capital here from Selokolela,"Schepera 1942, 7 ",-24.70729,25.32561
Botswana,BaNgwaketse,Male,Near Moshaneng,"Major camp site, 1852",Scotch dissertation,-24.88814,25.23885
Botswana,BaNgwaketse,Mhakane (Mabule) ,,early capital on border; return in 1840s,Morton 2014 32,-25.7705,24.40025
Botswana,BaNgwaketse,Moswen,Moshwene,,Ngcongco 69,-25.38693,25.30011
Botswana,BaNgwaketse,Pitsaneng,,Makhaba II moves capital here,Morton 2014 31,-24.9844,25.45762
,BaNgwaketse,Segeng,Sekheng,Temporary capital 1849-50ish,Ngeongeo 150,-25.24837,24.79986
Botswana,BaNgwaketse,Selokolela ,,Capital just before 1826,,-24.95085,25.11196
,BaNgwaketse,Seoke,Ruins near Lobatsi,Capital in mid-1800s; three kings rule over here,Ngeongeo 103,-25.21629,25.68076
Botswana,BaNgwaketse,Tlhorong,near Ranaka,,Morton 2014 31,-24.91147,25.47074
Botswana,BaNgwaketse,Tswaneng,,Segotshane here in 1840s,Ngeongeo 144,-24.60374,24.7284
