Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Mali,Khasso,Bangassi,,,AF//274,14.200961,-11.228822,
Mali,Khasso,Bongourou,,,0,14.479568,-11.512365,
Mali,Khasso,Dinguira,,Logo lineage here,Cissokho 201,14.175588,-11.246597,
Mali,Khasso,Kafa,,,"Cissokho 1986, p. 28-29",14.322724,-11.366461,
Mali,Khasso,Kakoulou,,,"Cissokho 1986, p. 28-29",14.282274,-11.265811,
Mali,Khasso,Keignou,,Dembaya clan chief here,Cissokho 174,14.40414,-11.378329,
Mali,Khasso,Khouloun,,,"Cissokho 1986, p. 28-29",14.449937,-11.370557,
Mali,Khasso,Khounda,,Frontier village that is subject of dispute between lineages,Cissokho 187,14.344658,-11.31789,
Mali,Khasso,Lontou,,Dembaya clan chief here,Cissokho 174,14.347816,-11.347517,
Mali,Khasso,Mamery,,Early capital fo Hawa Demba,Cissokho p. 296,14.304644,-11.485789,
Mali,Khasso,Medina,,Capital refounded by Hawa Demba,Cissokho p. 296,14.375194,-11.366396,
Mali,Khasso,Saboucire,,capital of Logo lineage,Cissokho 179,14.31679,-11.27691,
Mali,Khasso,Sameyea,,,"Cissokho 1986, p. 28-29",14.48487,-11.567603,
Mali,Khasso,Mansonna,,Niatiga clan capital reestablished in 1860s,Cissokho 184,14.0417,-11.26061,
Mali,Khasso,Tinkin,,Niatiga clan capital reestablished in 1860s,Cissokho 184,13.99255,-11.21999,placed at nearest village as approximated on Cissokho's map
Mali,Khasso,Banganoura,,Old village of Niatiga clan,Cissokho 184,14.02215,-11.12187,
