Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
South Africa,Lesotho,Beersheba,Holstein,Boers destroyed mission station based here and village went with it,http://www.tandfonline.com/doi/pdf/10.1080/02582470903189733,-30.083692,26.747953,
Lesotho,Lesotho,Berea,,early city in kingdom's core,Thompson 177,-29.267681,27.613165,
Lesotho,Lesotho,Butha-Buthe ,,Moshoeshoe lives here during Mefcane (1822-24) before moving to Thaba-Boisu ,Haliburton 29,-28.766587,28.249365,
Lesotho,Lesotho,Cana,,early city in kingdom's core,Thompson 177,-29.109106,27.835073,
South Africa,Lesotho,Hlohlohloano,Clocolan,impt village,Sanders 35,-28.913669,27.565555,
Lesotho,Lesotho,Koro-Koro,,half brother settles here as state expands,Gill Map,-29.501169,27.640003,
Lesotho,Lesotho,Leribe,,son placed here,Thompson 180,-28.871849,28.045009,
South Africa,Lesotho,Mabolela,Placed at the Haven,chief here,Thompson 186,-29.133845,27.531037,
Lesotho,Lesotho,Makhoarane ,Morija,Moshoeshoe's cattle post here,Thompson 193,-29.625833,27.508113,
Lesotho,Lesotho,Malapa/Molapa,,Chief here,Thompson 177,-29.041483,28.243229,
Lesotho,Lesotho,Maphutseng,,chief here,Sanders 96,-30.216667,27.516667,
Lesotho,Lesotho,Maseru,,impt village,Sanders 35,-29.318342,27.503535,
Lesotho,Lesotho,Masitise,,,Gill Map 3.7,-30.404041,27.645555,
Lesotho,Lesotho,Matsieng ,,,,-29.617151,27.566446,
Lesotho,Lesotho,Menkhoaneng,,"Birthplace of Moshoeshoe  - in census, create?",Rosenberg and Weisfelder xxiii,-28.92061,28.218326,
Lesotho,Lesotho,Peka,,royal cattle post,Sanders 108,-28.968083,27.750038,
Lesotho,Lesotho,Siloe,,,Gill Map 3.7,-29.954098,27.28294,
Lesotho,Lesotho,Thaba-Bosiu ,,Capital,Haliburton historical dictionary p. xii,-29.345103,27.671342,
South Africa,Lesotho,Thaba-Nchu,Thaba Panchwa,chief here,Sanders 50,-29.314221,27.120024,
Lesotho,Lesotho,Thabana-Morena,,,Gill Map 3.7,-29.960076,27.420435,
Lesotho,Lesotho,Matela,,Chief here,Thompson 177,-28.62725,28.45609,approximate location based on map
Lesotho,Lesotho,Moorosi,,Chief here,Thompson 177,-30.2731,27.87076,
Lesotho,Lesotho,Kubake,near Mohale's hook,Chief here,Thompson 177,-30.15137,27.47691,
Lesotho,Lesotho,Qethone,near Koesberg,Chief here,Thompson 177,-30.28166,26.9487,approximate
Lesotho,Lesotho,Mate,,Moshoeshoe's cattle post here,Thompson 193,-28.85,28.23333,
Lesotho,Lesotho,Tebetebeng,,Moshoeshoe's cattle post here,Thompson 193,-29.13333,27.8,
Lesotho,Lesotho,Boinyatso,,son placed here,Sanders 206,-28.782,28.465,
South Africa,Lesotho,Boloke,Vecht Kop,brother Posholi here,Sanders 204,-30.27519,27.18463,
Lesotho,Lesotho,Mokunutlung,,chief here,Sanders 119,-28.96667,27.85,
Lesotho,Lesotho,Thaba Tsoeu,WonderKop,chief here,Sanders 119,-29.78468,27.40898,
Lesotho,Lesotho,Qholaqhoe,,chief here,Sanders 119,-28.7,28.41667,
